課,見出し,読み,アクセント,ローマ字,英訳,品詞,補足情報,サブ活動
1,おはよう（ございます）,おはよう（ございます）,おはよう（ございま↓す）,ohayoo (gozaimasu),Good morning.,Exp,,
1,こんにちは,こんにちは,こんにちは○,konnichiwa,Good afternoon.,Exp,,
1,こんばんは,こんばんは,こんばんは○,konbanwa,Good evening.,Exp,,
1,お先に失礼します,おさきにしつれいします,おさきにしつ↓れいします,osaki ni shitsureeshimasu,Goodbye. (I'll take my leave before you.),Exp,,
1,お疲れさま（でした）,おつかれさま（でした）,おつかれさま（で↓した）,otsukaresama (deshita),Goodbye. (Thank you for your hard work.),Exp,,
1,おやすみ（なさい）,おやすみ（なさい）,おやすみ（なさい）○,oyasumi (nasai),Good night. ,Exp,,
1,失礼します,しつれいします,しつ↓れいします,shitsureeshimasu,Goodbye.,Exp,,
1,じゃあ、また,じゃあ、また,じゃ↓あ、また○,"jaa, mata",See you later.,Exp,,
1,あめ,あめ,あめ○,ame,candy,N,,お礼を言う
1,ありがとうございます,ありがとうございます,あり↓がとうございます,arigatoo gozaimasu,Thank you.,Exp,,お礼を言う
1,いいえ,いいえ,いいえ○,iie,You're welcome.,Exp,,お礼を言う
1,痛い！,いたい！,いた↓い！,itai !,Ouch！,Exp,,謝る
1,落としましたよ,おとしましたよ,おとしま↓したよ,otoshimashita yo,You dropped this.,Exp,,お礼を言う
1,ごめん,ごめん,ごめん○,gomen,Sorry.,Exp,,謝る
1,すみません,すみません,すみませ↓ん,sumimasen,Thank you.,Exp,,お礼を言う
1,すみません,すみません,すみませ↓ん,sumimasen,I'm sorry.,Exp,,謝る
1,どうぞ,どうぞ,ど↓うぞ,doozo,Here you go.,Exp,,お礼を言う
1,どうも,どうも,ど↓うも,doomo,Thanks.,Exp,,お礼を言う
1,（どうも）ありがとう,（どうも）ありがとう,（ど↓うも）　あり↓がとう,(doomo) arigatoo,Thank you very much.,Exp,,お礼を言う
1,わあ,わあ,わあ○,waa,Oh! (expresses surprise),Exp,,お礼を言う
1,これ,これ,これ○,kore,this,N,指示表現,お礼を言う
1,プレゼント,プレゼント,プレ↓ゼント,purezento,present,N,,お礼を言う
1,おめでとうございます,おめでとうございます,おめでとうございま↓す,omedetoo gozaimasu,Congratulations.,Exp,,
1,わかりました,わかりました,わかりま↓した,wakarimashita,I understand.,Exp,,
2,1,いち,いち↓,ichi,one,N,数字,
2,言ってください,いってください,いってくださ↓い,itte kudasai,Please say ～.,Exp,,
2,お願いします,おねがいします,おねがいしま↓す,onegaishimasu,Please. ,Exp,,
2,書いてください,かいてください,か↓いてくださ↓い,kaite kudasai,Please write ～.,Exp,,
2,見せてください,みせてください,み↓せてくださ↓い,misete kudasai,Please show me ～.,Exp,,
2,わかりました,わかりました,わかりま↓した,wakarimashita,I understand.,Exp,,
2,わかりません,わかりません,わかりませ↓ん,wakarimasen,I do not understand.,Exp,,
2,9,きゅう,きゅ↓う,kyuu,nine,N,数字,
2,5,ご,ご↓,go,five,N,数字,
2,ここ,ここ,ここ○,koko,here,N,指示表現,
2,在留カード,ざいりゅうカード,ざいりゅうカ↓ード,zairyuu-kaado,residence card,N,,
2,3,さん,さん○,san,three,N,数字,
2,10,じゅう,じゅ↓う,juu,ten,N,数字,
2,0,ゼロ,ゼ↓ロ,zero,zero,N,数字,
2,7,なな,な↓な,nana,seven,N,数字,
2,名前,なまえ,なまえ○,namae,name,N,,
2,2,に,に↓,ni,two,N,数字,
2,8,はち,はち↓,hachi,eight,N,数字,
2,部屋,へや,へや↓,heya,room,N,,
2,もういちど,もういちど,もういちど○,moo ichido,once more,,副詞的表現,
2,もう少し,もうすこし,もうすこ↓し,moo sukoshi,a little.,,副詞的表現,
2,ゆっくり,ゆっくり,ゆっく↓り,yukkuri,slowly,,副詞的表現,
2,よく,よく,よ↓く,yoku,(not) really,,副詞的表現,
2,4,よん,よ↓ん,yon,four,N,数字,
2,6,ろく,ろく↓,roku,six,N,数字,
2,インドネシア語,インドネシアご,インドネシアご○,indoneshiago,Indonesian language,N,,
2,英語,えいご,えいご○,eego,English language,N,,
2,お客さん,おきゃくさん,おきゃくさん○,okyakusan,customer (used to address a customer if their name isn't known),N,,
2,あのう,あのう,あのう○,anoo,Um… (used when the speaker wants to start talking to someone),Exp,,
2,じゃあ,じゃあ,じゃ↓あ,jaa,Well then…,Exp,,
2,できます,できます,できま↓す,dekimasu,I can speak / understand it.,Exp,,
2,できますか？,できますか？,できま↓すか？,dekimasu ka?,Can you speak it?,Exp,,
2,はい、どうぞ,はい、どうぞ,はい○、ど↓うぞ,"hai, doozo",Here you go.,Exp,,
2,わかります,わかります,わかりま↓す,wakarimasu,I understand.,Exp,,
2,わかりますか？,わかりますか？,わかりま↓すか？,wakarimasu ka?,Do you understand?,Exp,,
2,少し,すこし,すこ↓し,sukoshi,a little / a few,,副詞的表現,
2,中国語,ちゅうごくご,ちゅうごくご○,chuugokugo,Chinese language,N,,
2,日本語,にほんご,にほんご○,nihongo,Japanese language,N,,
2,はい,はい,は↓い,hai,yes,,,
2,え？,え?,え↓?,e?,Huh? / What? / Pardon?,Exp,,
2,そうそう,そうそう,そ↓う　そ↓う,soo soo,That's right.,Exp,,
2,何ですか？,なんですか？,な↓んですか？,nan desu ka?,What is it?,Exp,,
2,何と言いますか？,なんといいますか？,な↓んといいま↓すか？,nan to iimasu ka?,What do you call it?,Exp,,
2,蚊,か,か○,ka,mosquito,N,,
2,傘,かさ,か↓さ,kasa,umbrella,N,,
2,消しゴム,けしゴム,けしゴム○,keshigomu,eraser,N,,
2,スマホ,スマホ,スマホ○,sumaho,smartphone,N,,
2,何,なん,な↓ん,nan,what,N,疑問表現,
2,日本語で,にほんごで,にほんごで○,nihongo de,in Japanese,,,
2,免許証,めんきょしょう,めんきょしょう○／めんきょ↓しょう,menkyoshoo,license,N,,
3,（どうぞ）よろしくお願いします,（どうぞ）よろしくおねがいします,（ど↓うぞ）　よろしくおねがいしま↓す,(doozo) yoroshiku onegaishimasu,Nice to meet you.,Exp,,
3,はじめまして,はじめまして,はじめま↓して,hajimemashite,Hello. (said when meeting someone for the first time),Exp,,
3,～から来ました,～からきました,～からきま↓した,～kara kimashita,came　from ～,,,
3,韓国,かんこく,か↓んこく,Kankoku,South Korea,N,国名,
3,来る／来ます,くる／きます,く↓る／きま↓す,kuru / kimas,to come,V［3］,,
3,タイ,タイ,タ↓イ,Tai,Thailand,N,国名,
3,ブラジル,ブラジル,ブラジル○,Burajiru,Brazil,N,国名,
3,ミャンマー,ミャンマー,ミャ↓ンマー,Myanmaa,Myanmar,N,国名,
3,私,わたし,わたし○,watashi,I / myself,N,,
3,インドネシア,インドネシア,インドネ↓シア,Indoneshia,Indonesia,N,国名,
3,同じ,おなじ,おなじ○,onaji,same,,,
3,えーと,えーと,えーと○,eeto,Er… (expresses that the speaker is thinking),Exp,,
3,～からですか？,～からですか？,～から↓ですか？,～kara desu ka?,Are you from ～?,Exp,,
3,会社,かいしゃ,かいしゃ○,kaisha,company,N,,
3,そうですか,そうですか,そ↓うですか,soo desu ka,I see. (indicates that the speaker has understood what the other person is saying),Exp,,
3,どちらからですか？,どちらからですか？,ど↓ちらから↓ですか？,dochira kara desu ka?,Where are you from?,Exp,,
3,カンボジア,カンボジア,カンボジア○,Kanbojia,Cambodia,N,国名,
