"類別","日文","發音","英文翻譯","中文","例句"
"Lesson 1","私","わたし","I","我","わたしは学生です。"
"Lesson 1","私たち","わたしたち","We","我們","私たちは学生です。"
"Lesson 1","あなた","あなた","You","你","あなたは先生ですか。"
"Lesson 1","あの人","あのひと","That person","那個人","あの人は医者です。"
"Lesson 1","あの方","あのかた","That person (polite)","那位（敬稱）","あの方は先生です。"
"Lesson 1","皆さん","みなさん","Everyone, ladies and gentlemen","大家","皆さんは学生ですか。"
"Lesson 1","先生","せんせい","Teacher, Instructor","老師","マリアさんは先生です。"
"Lesson 1","教師","きょうし","Teacher, Instructor","教師","あの人は教師です。"
"Lesson 1","学生","がくせい","Student","學生","わたしは学生です。"
"Lesson 1","会社員","かいしゃいん","Company Employee","公司職員","ミラーさんは会社員です。"
"Lesson 1","社員","しゃいん","Employee","員工","あの人は社員です。"
"Lesson 1","銀行員","ぎんこういん","Bank employee","銀行行員","あの方は銀行員です。"
"Lesson 1","医者","いしゃ","Medical Doctor","醫生","わたしは医者です。"
"Lesson 1","研究者","けんきゅうしゃ","Researcher, Scholar","研究者","あの人は研究者です。"
"Lesson 1","大学","だいがく","University","大學","わたしは大学の学生です。"
"Lesson 1","病院","びょういん","Hospital","醫院","あの人は病院の医者です。"
"Lesson 1","電気","でんき","Electricity","電器公司（IMC電気）","ミラーさんはIMC電気の社員です。"
"Lesson 1","だれ","だれ","Who","誰","あの人はだれですか。"
"Lesson 1","どなた","どなた","Polite equivalent of だれ","哪位（敬稱）","あの方はどなたですか。"
"Lesson 1","何歳","なんさい","How old","幾歲","あなたは何歳ですか。"
"Lesson 1","失礼ですが","しつれいですが","Excuse me but","請問、不好意思（引出問句）","失礼ですが、お名前は？"
"Lesson 1","お名前は？","おなまえは？","May I have your name?","請問您貴姓大名？","失礼ですが、お名前は？"
"Lesson 1","初めまして。","はじめまして。","How do you do? (first time meeting)","初次見面，請多指教。","初めまして。どうぞよろしく。"
"Lesson 1","どうぞよろしく。","どうぞよろしく。","Pleased to meet you.","請多多指教。","初めまして。どうぞよろしく。"
"Lesson 1","こちらは～さんです。","こちらは～さんです。","This is Mr. /Ms. ~.","這位是～先生／女士。","こちらはミラーさんです。"
"Lesson 1","韓国","かんこく","South Korea","韓國","キムさんは韓国の人です。"
"Lesson 1","中国","ちゅうごく","China","中國","あの人は中国の研究者です。"
"Lesson 2","本","ほん","Book, Origin","書","これはわたしの本です。"
"Lesson 2","辞書","じしょ","Dictionary","字典","これは日本語の辞書です。"
"Lesson 2","雑誌","ざっし","Magazine","雜誌","これは日本の雑誌です。"
"Lesson 2","新聞","しんぶん","Newspaper","報紙","それは新聞ですか。"
"Lesson 2","手帳","てちょう","Pocket notebook","記事本","これはわたしの手帳です。"
"Lesson 2","名刺","めいし","Business card","名片","これはミラーさんの名刺です。"
"Lesson 2","鉛筆","えんぴつ","Pencil","鉛筆","これはわたしの鉛筆です。"
"Lesson 2","鍵","かぎ","Key","鑰匙","これはわたしの鍵です。"
"Lesson 2","時計","とけい","Watch, clock","手錶、時鐘","それはだれの時計ですか。"
"Lesson 2","傘","かさ","Umbrella","雨傘","これはわたしの傘です。"
"Lesson 2","かばん","かばん","Bag、Briefcase","包包","これはだれのかばんですか。"
"Lesson 2","自動車","じどうしゃ","Car, automobile","汽車","あれはミラーさんの自動車です。"
"Lesson 2","机","つくえ","Desk","書桌","これはわたしの机です。"
"Lesson 2","いす","いす","Chair","椅子","それはわたしのいすです。"
"Lesson 2","英語","えいご","English Language","英語","これは英語の本です。"
"Lesson 2","日本語","にほんご","Japanese Language","日語","それは日本語の辞書ですか。"
"Lesson 2","何","なん","What","什麼","これは何ですか。"
"Lesson 2","違います","ちがいます","No, it isn't, different","不是的、不同","違います。それはわたしのかばんじゃないです。"
"Lesson 2","そうですか。","そうですか。","I see, Is that so?","這樣啊。","そうですか。"
"Lesson 2","あのう","あのう","Well… (used to show hesitation)","那個……（猶豫時用）","あのう、これはだれの本ですか。"
"Lesson 2","ほんの気持ちです。","ほんのきもちです。","It's nothing. It's a token of my gratitude.","這只是一點小意思。","どうぞ。ほんの気持ちです。"
"Lesson 2","どうぞ。","どうぞ。","Please, here you are..","請、請便、請收下","どうぞ。"
"Lesson 2","これからお世話になります。","これからおせわになります。","I hope for your kind assistance hereafter.","以後請多多關照。","これからお世話になります。"
